1, -0.085284, -0.085284, 0.000000
2, -0.071924, -0.071924, 0.000000
3, -0.082298, -0.082298, 0.000000
4, -0.080635, -0.080636, 0.000000
5, -0.069471, -0.069472, 0.000000
6, -0.057303, -0.057303, 0.000000
7, -0.086626, -0.086626, 0.000000
8, -0.073315, -0.073315, 0.000000
9, -0.046248, -0.046249, 0.000000
10, -0.093327, -0.093328, 0.000000
11, -0.084518, -0.084519, 0.000000
12, -0.081570, -0.081571, 0.000000
13, -0.063393, -0.063397, 0.000001
14, -0.073645, -0.073653, 0.000002
15, -0.069460, -0.069473, 0.000003
16, -0.078645, -0.078680, 0.000009
17, -0.058445, -0.058506, 0.000015
18, -0.083916, -0.083964, 0.000012
19, -0.070197, -0.070390, 0.000048
20, -0.077925, -0.078488, 0.000141
21, -0.072280, -0.075119, 0.000710
22, -0.078227, -0.079770, 0.000386
23, -0.096460, -0.097212, 0.000188
24, -0.066436, -0.067370, 0.000233
25, -0.077968, -0.078863, 0.000224
26, -0.069300, -0.070889, 0.000397
27, -0.088303, -0.089976, 0.000418
28, -0.076996, -0.081702, 0.001176
29, -0.077995, -0.079567, 0.000393
30, -0.091256, -0.092590, 0.000333
31, -0.080470, -0.081570, 0.000275
32, -0.081367, -0.083307, 0.000485
33, -0.076891, -0.079337, 0.000612
34, -0.094151, -0.097878, 0.000932
35, -0.088619, -0.089413, 0.000199
36, -0.075063, -0.076282, 0.000305
37, -0.073302, -0.074341, 0.000260
38, -0.089685, -0.090984, 0.000325
39, -0.081423, -0.083895, 0.000618
40, -0.072900, -0.076194, 0.000823
41, -0.048160, -0.060221, 0.003015
42, -0.074860, -0.082313, 0.001863
43, -0.088663, -0.092428, 0.000941
44, -0.083544, -0.088384, 0.001210
45, -0.098204, -0.100314, 0.000527
46, -0.078953, -0.083278, 0.001081
47, -0.071072, -0.078524, 0.001863
48, -0.103980, -0.109379, 0.001350
49, -0.087350, -0.091229, 0.000970
50, -0.074938, -0.076947, 0.000502
51, -0.065069, -0.071054, 0.001496
52, -0.102068, -0.104653, 0.000646
53, -0.083571, -0.088747, 0.001294
54, -0.085098, -0.087887, 0.000697
55, -0.086907, -0.090296, 0.000847
56, -0.070007, -0.074428, 0.001105
57, -0.089000, -0.090577, 0.000394
58, -0.090332, -0.093782, 0.000862
59, -0.080715, -0.086132, 0.001354
60, -0.061626, -0.065713, 0.001022
61, -0.068855, -0.076798, 0.001986
62, -0.083593, -0.088327, 0.001184
63, -0.074836, -0.085016, 0.002545
64, -0.075521, -0.079407, 0.000972
65, -0.080180, -0.085810, 0.001407
66, -0.107953, -0.111622, 0.000917
67, -0.099818, -0.102803, 0.000746
68, -0.062108, -0.064822, 0.000678
69, -0.077397, -0.081794, 0.001099
70, -0.089172, -0.092863, 0.000923
71, -0.094251, -0.098720, 0.001117
72, -0.091995, -0.096968, 0.001243
73, -0.077934, -0.088217, 0.002571
74, -0.095104, -0.099803, 0.001175
75, -0.095257, -0.098944, 0.000922
76, -0.083878, -0.093259, 0.002345
77, -0.079805, -0.086401, 0.001649
78, -0.085571, -0.090502, 0.001233
79, -0.053174, -0.062782, 0.002402
80, -0.083589, -0.086436, 0.000712
81, -0.086337, -0.091943, 0.001401
82, -0.082167, -0.087911, 0.001436
83, -0.101001, -0.106191, 0.001297
84, -0.104793, -0.110571, 0.001445
85, -0.096518, -0.104163, 0.001911
86, -0.093759, -0.099317, 0.001390
87, -0.085533, -0.091788, 0.001564
88, -0.088501, -0.093891, 0.001348
89, -0.065187, -0.070257, 0.001268
90, -0.088305, -0.092705, 0.001100
91, -0.075755, -0.081402, 0.001412
92, -0.079993, -0.085318, 0.001331
93, -0.088559, -0.094051, 0.001373
94, -0.091771, -0.098413, 0.001661
95, -0.089696, -0.095938, 0.001560
96, -0.097190, -0.104970, 0.001945
97, -0.069673, -0.081058, 0.002846
